Press TAB to move to input areas. Press UP or DOWN ARROW in column A to read through the document.,Energy Consumption and Greenhouse Gas Emissions Reporting - for 2018,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36
Fire Station 343,Fire stations and associated offices and facilities,65 Hendrick Av,Toronto,M6G 3S3,9827,Square feet,168,0,52679.783062000002,kWh,22342.453635999998,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44550.927070252837,29.362333875159806,NA,FS343,Fire Stations
Fire Station 344,Fire stations and associated offices and facilities,240 Howland Ave,Toronto,M5R 3B6,11238,Square feet,168,0,68891.717934999993,kWh,21717.897499999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44012.941419174997,26.53162268044986,NA,FS344,Fire Stations
Fire Station 345,Fire stations and associated offices and facilities,1287 Dufferin St,Toronto,M6H 4C2,12809,Square feet,168,0,119253.66608,kWh,39648.185634000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80089.408410253469,41.986889438764294,NA,FS345,Fire Stations
Fire Station 411,Fire stations and associated offices and facilities,75 Toryork Dr,North York,M9L 1X9,8762,Square feet,168,0,79637.110851999998,kWh,13385.604812,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28613.984039388281,25.216377461462859,NA,FS411,Fire Stations
Fire Station 412,Fire stations and associated offices and facilities,267 Humberline Dr,Etobicoke,M9W 5T6,7029,Square feet,168,0,73903.308617000002,kWh,20764.266373000002,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42401.801530804376,41.699636330477311,NA,FS412,Fire Stations
Fire Station 413,Fire stations and associated offices and facilities,1549 Albion Rd,Etobicoke,M9W 1B2,3929,Square feet,168,0,30906.696650999998,kWh,6894.7819120000004,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14334.216116447282,26.391779204417549,NA,FS413,Fire Stations
Fire Station 415,Fire stations and associated offices and facilities,2120 Kipling Ave,Etobicoke,M9W 4K5,7804,Square feet,168,0,67311.056408999997,kWh,10315.868627,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22289.394728385632,22.579877271451664,NA,FS415,Fire Stations
Fire Station 421,Fire stations and associated offices and facilities,6 Lambton Ave,Toronto,M6N 2S1,9461,Square feet,168,0,104843.72783199999,kWh,24957.421849000002,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51605.113825606815,38.929645653493751,NA,FS421,Fire Stations
Fire Station 422,Fire stations and associated offices and facilities,590 Jane St,Toronto,M6S 4A6,7944,Square feet,168,0,62149.107411999998,kWh,16548.806129000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33923.565811680011,29.815073280973369,NA,FS422,Fire Stations
Fire Station 423,Fire stations and associated offices and facilities,358 Keele St,Toronto,M6P 2K7,12335,Square feet,168,0,104212.37009099999,kWh,31114.590625000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63276.571468046255,35.077559483841846,NA,FS423,Fire Stations
Fire Station 424,Fire stations and associated offices and facilities,462 Runnymede Rd,Toronto,M6S 2Z3,5866,Square feet,168,0,38844.395424000002,kWh,8792.8622319999995,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18257.488270468079,22.446059996050771,NA,FS424,Fire Stations
Fire Station 425,Fire stations and associated offices and facilities,83 Deforest Rd,Toronto,M6S 1J5,7955,Square feet,168,0,43547.229615000004,kWh,8860.4119050000008,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18573.925076409454,17.232501143606793,NA,FS425,Fire Stations
Fire Station 426,Fire stations and associated offices and facilities,140 Lansdowne Ave,Toronto,M6K 2V9,12486,Square feet,168,0,159998.180521,kWh,31617.773977999997,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66463.896269106815,39.546669786366458,NA,FS426,Fire Stations
Fire Station 431,Fire stations and associated offices and facilities,308 Prince Edward Dr,Etobicoke,M8Y 3Z2,3907,Square feet,168,0,35928.118642000001,kWh,9789.1458070000008,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20033.467143779835,35.646228212903097,NA,FS431,Fire Stations
Fire Station 432,Fire stations and associated offices and facilities,155 The East Mall,Etobicoke,M8Z 5Y5,11765,Square feet,168,0,103391.306952,kWh,27275.424898000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55950.504202561628,33.26234803362869,NA,FS432,Fire Stations
Fire Station 433,Fire stations and associated offices and facilities,615 Royal York Rd,Etobicoke,M8Y 2S8,5038,Square feet,168,0,111407.992335,kWh,10515.796990000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24433.074077333102,44.148685040321482,NA,FS433,Fire Stations
Fire Station 434,Fire stations and associated offices and facilities,3 Lunness Rd,Etobicoke,M8W 4M2,5188,Square feet,168,0,27263.478018999998,kWh,10658.706816,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21338.777872047041,26.943884605404754,NA,FS434,Fire Stations
Fire Station 435,Fire stations and associated offices and facilities,130 Eighth St,Etobicoke,M8V 3C6,6889,Square feet,168,0,75670.548234999995,kWh,12755.480389,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27258.280469579411,30.530883355986454,NA,FS435,Fire Stations
Fire Station 441,Fire stations and associated offices and facilities,947 Martingrove Rd,Etobicoke,M9W 4V6,19472,Square feet,168,0,121927.45567900001,kWh,17102.180118,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37365.93877552342,15.533657006549488,NA,FS441,Fire Stations
Fire Station 442,Fire stations and associated offices and facilities,2015 Lawrence Ave W,Toronto,M9N 3V5,15479,Square feet,168,0,201878.46398100001,kWh,19030.186967000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44226.594438580229,26.020814851309648,NA,FS442,Fire Stations
Fire Station 443,Fire stations and associated offices and facilities,1724 Islington Ave,Etobicoke,M9A 3N2,3929,Square feet,168,0,38236.187485000002,kWh,9175.1479589999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18959.384325632713,34.384339919144772,NA,FS443,Fire Stations
Fire Station 444,Fire stations and associated offices and facilities,666 Renforth Dr,Etobicoke,M9C 2N6,3929,Square feet,168,0,33160.992337000003,kWh,7265.8604460000006,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15129.322124141743,27.962582881040099,NA,FS444,Fire Stations
Fire Station 445,Fire stations and associated offices and facilities,280 Burnhamthorpe Rd,Etobicoke,M9B 1Z5,11765,Square feet,168,0,119162.55703600001,kWh,18144.180666,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39234.820850833545,26.409400446656043,NA,FS445,Fire Stations
Fire Training Centre,Fire stations and associated offices and facilities,4562 Sheppard Ave E,Scarborough,M1S 1V2,7998,Square feet,168,0,73605.490330999994,kWh,14066.451613000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29666.117077939973,27.769665136283859,NA,FIRETC,Fire Stations
HUSAR,Fire stations and associated offices and facilities,21 Old Eglinton,North York,M4A 0A2,11485,Square feet,168,0,233657.18825899999,kWh,25043.136242,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56920.483017924984,43.363712662007231,NA,HUSAR,Fire Stations
Rotherham Ave 15,Fire stations and associated offices and facilities,15 Rotherham Ave,Toronto,M6M 1L9,23002,Square feet,168,0,158350.286337,kWh,26789.851928,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57226.425262582321,19.179404465835834,NA,RA15,Fire Stations
Toryork Office,Fire stations and associated offices and facilities,40 Toryork Dr,North York,M9L 1X6,42625,Square feet,168,0,679969.60984599998,kWh,109679.893048,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235556.58041819514,43.116373797563043,NA,TYO,Fire Stations
Allan Gardens,Other,160 Gerrard St E,Toronto,M5A 2P2,25177,Square feet,168,0,214202.719193,kWh,166842.635408,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,325517.39482594351,78.465236806258005,NA,AGDN,Greenhouses
Centennial Greenhouse,Other,149-151 Elmcrest Rd,Etobicoke,M9C 3S2,29170,Square feet,168,0,274793.93888799998,kWh,213361.091614,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,416311.68968371965,86.636762362238528,NA,CPGH,Greenhouses
Cloud Gardens,Other,14 Temperance St.,Toronto,M5H 1YR,6243,Square feet,168,0,171801.83421300002,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51802.215654689928,65.780073940306281,NA,14TEMP,Greenhouses
High Park Greenhouses,Other,15 High Park,Toronto,M6P 2R5,60386,Square feet,168,0,578809.49958199996,kWh,506097.60096900002,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,984580.93156807963,98.061748437918212,NA,HIPG,Greenhouses
Riverlea Greenhouse,Other,919 Scarlett Rd,Etobicoke,M9P 2V3,17018,Square feet,168,0,97700.794811,kWh,90367.499284000005,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175578.26650726196,61.798573157125773,NA,RLGH,Greenhouses
Rockcliffe GreenHouse,Other,301 Rockcliffe Blvd,Toronto,M6N 5G6,12271,Square feet,168,0,85149.371197999993,kWh,89641.001250000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173696.08851253253,84.057304654870165,NA,ROCKPR,Greenhouses
Agincourt Arena and R.C,Indoor recreational facilities,31 Glen Watford Dr,Scarborough,M1S 2B7,93398,Square feet,100,0,2141347.4547740002,kWh,357763.693272,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,765294.00866284582,63.365141925561289,NA,AGINA,Indoor Recreational Facilities
Antibes Park,Indoor recreational facilities,140 Antibes Dr,North York,M2R 3J3,18492,Square feet,100,0,392585.50688600005,kWh,64760.716875999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138728.70651760843,58.200827932557011,NA,ANBP,Indoor Recreational Facilities
Beaches R.C,Indoor recreational facilities,6 Williamson Rd,Toronto,M4E 1K5,14445,Square feet,100,0,161322.83775900002,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6452.9135103600011,11.168121144859168,NA,BEACC,Indoor Recreational Facilities
Bennington Heights Clubhouse,Indoor recreational facilities,457 Heath Ave,East York,M4G 1B8,1432,Square feet,100,0,4355.0631210000001,kWh,2235.7509090000003,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4421.4361691582108,19.523282244047458,NA,BNHC,Indoor Recreational Facilities
Broadlands R.C & A.I.R,Indoor recreational facilities,19 Castlegrove Blvd,North York,M3A 1K9,10667,Square feet,100,0,368526.30718599999,kWh,22250.476060000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57010.059153861403,56.56890513285456,NA,BROAC,Indoor Recreational Facilities
Centennial R.C (Ice Galaxy),Indoor recreational facilities,1967 Ellesmere Rd,Scarborough,M1H 2W5,102376,Square feet,100,0,2364592.9732579999,kWh,256319.76517,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,581511.81362611731,49.52826825161624,NA,CENTC,Indoor Recreational Facilities
Davisville Park/Tennis,Indoor recreational facilities,218 Davisville Ave,Toronto,M5J 3J5,2777,Square feet,100,0,36303.067740999999,kWh,6617.9181819999994,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14024.115700803579,38.230793462329245,NA,DVVP,Indoor Recreational Facilities
Dovercourt B&G Club,Indoor recreational facilities,155 Bartlett Ave,Toronto,M6H 3G1,23971,Square feet,100,0,114732.509032,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4589.3003612800003,4.7863246040682892,NA,DOVCC,Indoor Recreational Facilities
East York Clubhouse,Indoor recreational facilities,323-525 Cosburn Ave,Toronto,M4J 4Y7,1001,Square feet,100,0,14697.132727,kWh,2452.8290340000003,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5247.5000966794614,40.550541388999946,NA,EYCH,Indoor Recreational Facilities
East York Curling Club House,Indoor recreational facilities,901 Cosburn Ave,Toronto,M4C 2W7,17868,Square feet,100,0,330393.06363699998,kWh,44503.143624999997,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97757.899458456261,44.784134325079478,NA,EASCH,Indoor Recreational Facilities
Etobicoke Olympium,Indoor recreational facilities,590 Rathburn Rd,Etobicoke,M9C 3T3,139995,Square feet,100,0,2506567.087419,kWh,548030.77269699995,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1141351.2620815239,59.230688864100507,NA,ETOBO,Indoor Recreational Facilities
Fairfield Senior Centre,Indoor recreational facilities,80 Lothian Ave,Etobicoke,M8Z 4K5,14316,Square feet,100,0,78740.246727000005,kWh,33809.842980999994,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67377.830481655881,30.431864111275864,NA,FAIRFC,Indoor Recreational Facilities
Flemingdon RC & Pool,Indoor recreational facilities,29 St. Dennis Dr,North York,M3C 1E3,34348,Square feet,100,0,728492.06891799998,kWh,76262.604017000005,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174014.98898177475,44.648311275344625,NA,FLEMRC,Indoor Recreational Facilities
George Webster Clubhouse,Indoor recreational facilities,30-40 Chapman Ave,Etobicoke,M9P 1E5,1302,Square feet,100,0,6705.0489080000007,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268.20195632000002,5.1498286065313241,NA,GGWC,Indoor Recreational Facilities
Gord & Irene Risk Arena & R.C,Indoor recreational facilities,2650 Finch Ave. W,North York,M9M 3A3,44304,Square feet,100,0,737833.58071799995,kWh,80523.172687999991,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182482.40915238671,35.840996211322526,NA,GIRCA,Indoor Recreational Facilities
Goulding Arena & R.C,Indoor recreational facilities,45 Goulding Ave,North York,M2M 1K8,43540,Square feet,100,0,707248.46561299998,kWh,85886.07342700001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191446.85345305767,37.067731859909053,NA,GOULA,Indoor Recreational Facilities
Grandravine Arena & R.C,Indoor recreational facilities,25 Grandravine Dr,North York,M3J 1B3,33637,Square feet,100,0,634993.12379300001,kWh,82534.074502999996,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182188.88094432408,44.780663983280633,NA,GRANA,Indoor Recreational Facilities
Horner Avenue Senior Centre,Indoor recreational facilities,320 Horner Ave,Etobicoke,M8W 2C2,4252,Square feet,100,0,25342.579166,kWh,4835.0926230000005,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10198.880271626871,17.964614080749747,NA,HORNC,Indoor Recreational Facilities
Islington Senior Centre,Indoor recreational facilities,4968 Dundas St W,Etobicoke,M9A 1B7,9967,Square feet,100,0,112515.618739,kWh,8348.0696970000008,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20359.369272253934,20.130887480394964,NA,ISLIC,Indoor Recreational Facilities
Jimmie Simpson R.C,Indoor recreational facilities,870 Queen St E,Toronto,M4M 3G9,43906,Square feet,100,0,1095405.3213220001,kWh,205192.904243,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,433619.12111426471,74.285511414711834,NA,JIMMC,Indoor Recreational Facilities
John Booth Arena & R.C,Indoor recreational facilities,230 Gosford Blvd,North York,M3N 2H1,27007,Square feet,100,0,444853.45235500002,kWh,43665.249071000006,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100744.575101888,33.540131673683241,NA,JOHNA,Indoor Recreational Facilities
Joseph J. Piccininni R.C,Indoor recreational facilities,1369 St Clair Ave W,Toronto,M6E 1C5,70030,Square feet,100,0,1117362.288472,kWh,170006.069969,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,367653.32259828964,41.583295458325757,NA,JOSEC,Indoor Recreational Facilities
L'Amoreaux C.C,Indoor recreational facilities,2000 McNicoll Ave,Scarborough,M1V 5E9,25995,Square feet,100,0,439474.492424,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17578.979696959999,16.906186711587551,NA,LAMOC,Indoor Recreational Facilities
L'Amoreaux Park Yard,Indoor recreational facilities,3079 Birchmount Rd,Scarborough,M1W 2S4,1690,Square feet,100,0,52719.302187000001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2108.7720874800002,31.194983343644445,NA,LAMSP,Indoor Recreational Facilities
L'Amoreaux Sports and Tennis,Indoor recreational facilities,200 Silver Springs Blvd,Scarborough,M1V 1M7,56253,Square feet,100,0,1069328.71579,kWh,117272.864243,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265555.23610538471,41.017425644273729,NA,LATSC,Indoor Recreational Facilities
Malvern R.C,Indoor recreational facilities,30 Sewells Rd,Scarborough,M1B 3G5,106466,Square feet,100,0,2533329.9828389999,kWh,201421.46193599998,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,483971.53633875982,43.766988062520909,NA,MALVC,Indoor Recreational Facilities
Markdale Rec & Daycare,Indoor recreational facilities,41 Markdale Ave,Toronto,M6C 1T3,1829,Square feet,100,0,5210.7255770000002,kWh,4553,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8857.7175930800004,29.128278222979063,NA,MARKDA,Indoor Recreational Facilities
Matty Eckler R.C,Indoor recreational facilities,953 Gerrard St E,Toronto,M4M 1Z4,47383,Square feet,100,0,550506.97580600006,kWh,118031.78558800001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246244.08179590775,37.915308959049533,NA,MATTC,Indoor Recreational Facilities
McCormick R.C,Indoor recreational facilities,66 Sheridan Ave,Toronto,M6K 2G9,43099,Square feet,100,0,1056331.176129,kWh,156606.78559099999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,339757.59156452678,62.869067633411113,NA,MCCOC,Indoor Recreational Facilities
Milliken Park Rec Center,Indoor recreational facilities,4325 McCowan Rd.,Scarborough,M1V 4P1,17631,Square feet,100,0,321597.091097,kWh,60327.868387000002,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127468.13193998004,54.362460109755673,NA,MILI,Indoor Recreational Facilities
Oriole Arena & R.C,Indoor recreational facilities,2975 Don Mills Rd.,North York,M2J 3B7,64347,Square feet,100,0,1144864.6119670002,kWh,56942.238262999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153967.18508451848,27.134042633730534,NA,ORIOA,Indoor Recreational Facilities
Pelmo Park Tennis,Indoor recreational facilities,185 Pelmo Cres,Toronto,M9N 2P5,2573,Square feet,100,0,100163.804922,kWh,9005.2045500000004,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21113.649228469501,75.876368935219233,NA,PELMT,Indoor Recreational Facilities
Pleasantview Arena & R.C,Indoor recreational facilities,545 Van Horne Ave,North York,M2J 4S8,30559,Square feet,100,0,669516.091166,kWh,116826.205909,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,248714.21874990821,62.267210798435492,NA,PLEAA,Indoor Recreational Facilities
Regent Park Aquatic Centre,Indoor recreational facilities,640 Dundas St E,Toronto,M5A 2B9,30505,Square feet,100,0,1077114.878613,kWh,24383.203382,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89405.122777271579,43.747801992896896,NA,RPAC,Indoor Recreational Facilities
Roding Arena & R.C,Indoor recreational facilities,600 Roding St.,North York,M3M 2A5,30494,Square feet,100,0,618094.28395000007,kWh,31346.137763999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84271.71580689316,31.121208633180114,NA,RODIA,Indoor Recreational Facilities
St Albans Boys Club,Indoor recreational facilities,843 Palmerston Ave,Toronto,M6G 2R8,23293,Square feet,100,0,293723.183563,kWh,78792.214848000003,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161429.70996711715,48.319836982772188,NA,SABC,Indoor Recreational Facilities
Stan Wadlow Clubhouse,Indoor recreational facilities,373 Cedarvale Ave,Toronto,M4C 4K7,10323,Square feet,100,0,81505.725000999999,kWh,30262.250459999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60749.123576397404,38.843070445770607,NA,SWLC,Indoor Recreational Facilities
Todmorden Mills Butler Building,Indoor recreational facilities,67 Pottery Rd,Toronto,M4K 2B9,17707,Square feet,100,0,335376.86248799996,kWh,21314.645161,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53906.29276542009,31.648026050317331,NA,TODM,Indoor Recreational Facilities
Topham Park Clubhouse,Indoor recreational facilities,1 Tiago Ave,East York,M4B 3J3,3283,Square feet,100,0,24199.583006000001,kWh,6624.7483869999996,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13552.951583540031,28.673616518909981,NA,TOPH,Indoor Recreational Facilities
Trace Manes Clubhouse,Indoor recreational facilities,110 Rumsey Rd,East York,M4G 1P2,6329,Square feet,100,0,84937.143939000001,kWh,18918.243818000003,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39336.284356176431,44.975925134008492,NA,TCMC,Indoor Recreational Facilities
Trinity Comm Rec Ctr,Indoor recreational facilities,155 Crawford St,Toronto,M6J 2V5,36909,Square feet,100,0,628900.04117600003,kWh,209104.84600699999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,422390.38655807782,76.84764755468413,NA,CF155,Indoor Recreational Facilities
University Settlement House R.C,Indoor recreational facilities,23 Grange Rd,Toronto,M5T 1C6,47566,Square feet,100,0,601751.92512899998,kWh,126596.78348099999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264564.72061618086,40.747693131849893,NA,UNIVC,Indoor Recreational Facilities
W Acres Senior Ctr,Indoor recreational facilities,65 Hinton Rd,Etobicoke,M9W 6Z8,4994,Square feet,100,0,28462.277319999997,kWh,7010.751835,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14456.746246231152,20.519250346250249,NA,WACRC,Indoor Recreational Facilities
Whitlam Warehouse,Indoor recreational facilities,25 Whitlam Ave,Etobicoke,M8V 2K1,24865,Square feet,100,0,49540.670250000003,kWh,35039.245514000002,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68545.331120490664,16.868745674228123,NA,WHITWH,Indoor Recreational Facilities
Willowdale Lawn Bowling,Indoor recreational facilities,150 Beecroft Rd,North York,M2N 5Z5,2293,Square feet,100,0,52044.760910999998,kWh,11393.317879000002,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23725.562477997511,75.151052481552426,NA,WDLB,Indoor Recreational Facilities
Albion Arena,Indoor sports arenas,1501 Albion Rd,Etobicoke,M9V 1B2,32658,Square feet,100,0,389542.07064499997,kWh,44251.739908999996,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99646.270613528206,26.232413494705522,NA,ALBIA,Indoor Sports Arena
Amesbury Arena,Indoor sports arenas,155 Culford Rd,Toronto,M6M 4K6,26942,Square feet,100,0,815010.49606099993,kWh,97981.677333,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218735.23245516678,68.643076490767001,NA,AMESA,Indoor Sports Arena
